problem,objectives,algorithm,runs,delta_p_median,delta_p_iqr,convergence_median,convergence_iqr,runtime_median_s
DTLZ1,2,ir2,3,19.71743192965273,16.039989015569496,18.300568890256624,13.105298865171967,2.1990453480002543
DTLZ1,2,r2,3,37.340694477853496,8.644461567724996,23.988982354774315,7.657914598122581,2.287703519000388
DTLZ1,2,sms,3,22.496210218097197,15.191331533752315,21.32226473197161,5.43945281544276,2.195031454999935
DTLZ1,3,ir2,3,56.892528204466146,27.029943068542096,46.5300429672342,18.13908600072218,2.157800699999825
DTLZ1,3,r2,3,42.38981741933453,3.2421455486879296,33.72125414119208,4.092880338833083,2.175786194000011
DTLZ1,3,sms,3,81.16141219290182,20.924635202809142,61.50493675615908,20.778176486763783,2.0997158000000127
DTLZ2,2,ir2,3,0.09060355507056779,0.022880945959717125,0.04754448330102787,0.01261030657554394,2.0853568939996876
DTLZ2,2,r2,3,0.08811112292192669,0.020982348674202483,0.046022441522194577,0.023356305954916425,2.2057814219997454
DTLZ2,2,sms,3,0.1004855945068091,0.03512048454563345,0.046048528773980704,0.007236662472533441,2.110655955999846
DTLZ2,3,ir2,3,0.22760066115750172,0.029281781336199603,0.1541940891596857,0.010724059196893093,2.2270417340000677
DTLZ2,3,r2,3,0.21886510834429082,0.020428285054266193,0.13227226068752307,0.038924099051672045,2.2482126959998823
DTLZ2,3,sms,3,0.18907687105686652,0.009996979951535534,0.12345428517564978,0.013633034973233912,2.168248129999938
